n1	n2
VFLDPWHFBUODDF-FCXRPNKRSA-N	P00918
VFLDPWHFBUODDF-FCXRPNKRSA-N	P05067
VFLDPWHFBUODDF-FCXRPNKRSA-N	P08684
VFLDPWHFBUODDF-FCXRPNKRSA-N	P14780
VFLDPWHFBUODDF-FCXRPNKRSA-N	P22748
VFLDPWHFBUODDF-FCXRPNKRSA-N	P23219
VFLDPWHFBUODDF-FCXRPNKRSA-N	P23280
VFLDPWHFBUODDF-FCXRPNKRSA-N	P35354
VFLDPWHFBUODDF-FCXRPNKRSA-N	P45452
VFLDPWHFBUODDF-FCXRPNKRSA-N	P47989
VFLDPWHFBUODDF-FCXRPNKRSA-N	P60321
VFLDPWHFBUODDF-FCXRPNKRSA-N	Q09472
VFLDPWHFBUODDF-FCXRPNKRSA-N	Q16790
VFLDPWHFBUODDF-FCXRPNKRSA-N	Q9UBC3
VFLDPWHFBUODDF-FCXRPNKRSA-N	Q9ULX7
VHVPQPYKVGDNFY-TUJWMRSMSA-N	Q16850
VJJPUSNTGOMMGY-BQZFVAJISA-N	P11388
VJJPUSNTGOMMGY-BQZFVAJISA-N	Q02880
VSJKWCGYPAHWDS-FQEVSTJZSA-N	P11387
VUWXAQFLTSBUDB-UHFFFAOYSA-N	B1AH88
VUWXAQFLTSBUDB-UHFFFAOYSA-N	P30536
VWUXBMIQPBEWFH-LQKBAPIOSA-N	P03372
VWUXBMIQPBEWFH-LQKBAPIOSA-N	Q92731
VWUXBMIQPBEWFH-LQKBAPIOSA-N	Q99527
VYZAMTAEIAYCRO-UHFFFAOYSA-N	P06730
VYZAMTAEIAYCRO-UHFFFAOYSA-N	Q04637
VYZAMTAEIAYCRO-UHFFFAOYSA-N	Q14240
VZZJRYRQSPEMTK-CALCHBBNSA-N	Q9NWM0
WAEXFXRVDQXREF-UHFFFAOYSA-N	O15379
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q13547
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q92769
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q969S8
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q96DB2
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q9BY41
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q9UBN7
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q9UKV0
WAEXFXRVDQXREF-UHFFFAOYSA-N	Q9UQL6
WAFNZAURAWBNDZ-UHFFFAOYSA-N	P23141
WAFNZAURAWBNDZ-UHFFFAOYSA-N	P24752
WBXPDJSOTKVWSJ-ZDUSSCGKSA-N	P00374
WBXPDJSOTKVWSJ-ZDUSSCGKSA-N	P04818
WBXPDJSOTKVWSJ-ZDUSSCGKSA-N	P22102
WBXPDJSOTKVWSJ-ZDUSSCGKSA-N	P31939
WCWUXEGQKLTGDX-LLVKDONJSA-N	P08684
WCWUXEGQKLTGDX-LLVKDONJSA-N	P11362
WCWUXEGQKLTGDX-LLVKDONJSA-N	P17948
WCWUXEGQKLTGDX-LLVKDONJSA-N	P35968
WCWUXEGQKLTGDX-LLVKDONJSA-N	Q12809
WDDPHFBMKLOVOX-UHFFFAOYSA-N	P09884
WDDPHFBMKLOVOX-UHFFFAOYSA-N	P23921
WDDPHFBMKLOVOX-UHFFFAOYSA-N	P28340
WDDPHFBMKLOVOX-UHFFFAOYSA-N	P31350
WDDPHFBMKLOVOX-UHFFFAOYSA-N	Q07864
WDDPHFBMKLOVOX-UHFFFAOYSA-N	Q7LG56
WEVYNIUIFUYDGI-UHFFFAOYSA-N	P00519
WEVYNIUIFUYDGI-UHFFFAOYSA-N	P11274
WHDJEAZLMYPLGL-UHFFFAOYSA-N	P06493
WHDJEAZLMYPLGL-UHFFFAOYSA-N	P14635
WHDJEAZLMYPLGL-UHFFFAOYSA-N	Q00535
WHDJEAZLMYPLGL-UHFFFAOYSA-N	Q15078
WHMXDBPHBVLYRC-OFVILXPXSA-N	Q02224
WIKYUJGCLQQFNW-UHFFFAOYSA-N	P14416
WIKYUJGCLQQFNW-UHFFFAOYSA-N	P21728
WIKYUJGCLQQFNW-UHFFFAOYSA-N	P21917
WIKYUJGCLQQFNW-UHFFFAOYSA-N	P35462
WINHZLLDWRZWRT-ATVHPVEESA-N	P07333
WINHZLLDWRZWRT-ATVHPVEESA-N	P09619
WINHZLLDWRZWRT-ATVHPVEESA-N	P10721
WINHZLLDWRZWRT-ATVHPVEESA-N	P16234
WINHZLLDWRZWRT-ATVHPVEESA-N	P17948
WINHZLLDWRZWRT-ATVHPVEESA-N	P35916
WINHZLLDWRZWRT-ATVHPVEESA-N	P35968
WINHZLLDWRZWRT-ATVHPVEESA-N	P36888
WJEOLQLKVOPQFV-UHFFFAOYSA-N	P09619
WJEOLQLKVOPQFV-UHFFFAOYSA-N	P10721
WJEOLQLKVOPQFV-UHFFFAOYSA-N	P16234
WJEOLQLKVOPQFV-UHFFFAOYSA-N	P22607
WKSAUQYGYAYLPV-UHFFFAOYSA-N	P00374
WKSAUQYGYAYLPV-UHFFFAOYSA-N	Q96FL8
WNWSUJQVZJJGLF-SQFISAMPSA-N	P49840
WNWSUJQVZJJGLF-SQFISAMPSA-N	P49841
WVSBGSNVCDAMCF-UHFFFAOYSA-N	O00141
WVSBGSNVCDAMCF-UHFFFAOYSA-N	Q9HBY8
WWGBHDIHIVGYLZ-UHFFFAOYSA-N	Q9UBN7
XAUDJQYHKZQPEU-JKUQZMGJSA-N	P26358
XAUDJQYHKZQPEU-JKUQZMGJSA-N	Q9Y6K1
XAYFWWVZSYKDIS-UHFFFAOYSA-N	Q99500
XGALLCVXEZPNRQ-UHFFFAOYSA-N	P00533
XGALLCVXEZPNRQ-UHFFFAOYSA-N	P31749
XIZGHTZLVCHYJN-JCXHLWBCSA-N	P49354
XIZGHTZLVCHYJN-JCXHLWBCSA-N	P49356
XQVVPGYIWAGRNI-JOCHJYFZSA-N	O60885
XQVVPGYIWAGRNI-JOCHJYFZSA-N	P53350
XQVVPGYIWAGRNI-JOCHJYFZSA-N	Q9H4B4
XQVVPGYIWAGRNI-JOCHJYFZSA-N	Q9NYY3
XRKYMMUGXMWDAO-UHFFFAOYSA-N	P78527
XRKYMMUGXMWDAO-UHFFFAOYSA-N	Q13315
XVECMUKVOMUNLE-UHFFFAOYSA-N	P27361
XVECMUKVOMUNLE-UHFFFAOYSA-N	P28482
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P07333
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P09619
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P10721
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P16234
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P17948
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P35916
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P35968
XXJWYDDUDKYVKI-UHFFFAOYSA-N	P36888
XYFPWWZEPKGCCK-UHFFFAOYSA-N	P51451
XYFPWWZEPKGCCK-UHFFFAOYSA-N	P51813
XYFPWWZEPKGCCK-UHFFFAOYSA-N	Q06187
XZXHXSATPCNXJR-UHFFFAOYSA-N	P06239
XZXHXSATPCNXJR-UHFFFAOYSA-N	P07948
XZXHXSATPCNXJR-UHFFFAOYSA-N	P09619
XZXHXSATPCNXJR-UHFFFAOYSA-N	P11362
XZXHXSATPCNXJR-UHFFFAOYSA-N	P12931
XZXHXSATPCNXJR-UHFFFAOYSA-N	P16234
XZXHXSATPCNXJR-UHFFFAOYSA-N	P17948
XZXHXSATPCNXJR-UHFFFAOYSA-N	P21802
XZXHXSATPCNXJR-UHFFFAOYSA-N	P22455
XZXHXSATPCNXJR-UHFFFAOYSA-N	P22607
XZXHXSATPCNXJR-UHFFFAOYSA-N	P35916
XZXHXSATPCNXJR-UHFFFAOYSA-N	P35968
XZXHXSATPCNXJR-UHFFFAOYSA-N	P36888
YABJJWZLRMPFSI-UHFFFAOYSA-N	P15056
YABJJWZLRMPFSI-UHFFFAOYSA-N	P35968
YAXSIJLRAOURJK-UHFFFAOYSA-N	P13631
YOLTZIVRJAPVPH-UHFFFAOYSA-N	Q99527
YQNRVGJCPCNMKT-UHFFFAOYSA-N	P42574
YRWLZFXJFBZBEY-UHFFFAOYSA-N	P07437
YZDJQTHVDDOVHR-UHFFFAOYSA-N	P15056
YZDJQTHVDDOVHR-UHFFFAOYSA-N	P35968
YZZAIQOVMHVWBS-UHFFFAOYSA-N	P10826
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P00519
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P06239
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P06241
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P07947
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P07948
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P08631
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P09619
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P09769
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P10721
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P12931
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P29317
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P42684
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P42685
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P51451
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	P51692
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Q9H3Y6
ZDZOTLJHXYCWBA-VCVYQWHSSA-N	O75469
ZDZOTLJHXYCWBA-VCVYQWHSSA-N	P07437
ZDZOTLJHXYCWBA-VCVYQWHSSA-N	P10415
ZDZOTLJHXYCWBA-VCVYQWHSSA-N	P10636
ZDZOTLJHXYCWBA-VCVYQWHSSA-N	P27816
ZDZOTLJHXYCWBA-VCVYQWHSSA-N	P50579
ZDZOTLJHXYCWBA-VCVYQWHSSA-N	Q9H4B7
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P0DP23
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P14416
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P21917
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P25100
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P26447
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P28223
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P28335
ZEWQUBUPAILYHI-UHFFFAOYSA-N	P63316
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Q14562
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Q9NYX4
ZFGXZJKLOFCECI-UHFFFAOYSA-N	Q9NYA1
ZFVRYNYOPQZKDG-UHFFFAOYSA-N	P07900
ZFVRYNYOPQZKDG-UHFFFAOYSA-N	P14625
ZGBGPEDJXCYQPH-UHFFFAOYSA-N	P12724
ZGBGPEDJXCYQPH-UHFFFAOYSA-N	P15056
ZHJGWYRLJUCMRT-QGZVFWFLSA-N	P53350
ZLHFILGSQDJULK-UHFFFAOYSA-N	O14965
ZLHFILGSQDJULK-UHFFFAOYSA-N	Q96GD4
ZXGGCBQORXDVTE-UMCMBGNQSA-N	P0DMV8
ZXGGCBQORXDVTE-UMCMBGNQSA-N	P0DMV9
ZXGGCBQORXDVTE-UMCMBGNQSA-N	P34931
ZZIKIHCNFWXKDY-OZKYFCMZSA-N	O15269
ZZIKIHCNFWXKDY-OZKYFCMZSA-N	O15270
ZZIKIHCNFWXKDY-OZKYFCMZSA-N	Q9NUV7
ZZUZYEMRHCMVTB-UHFFFAOYSA-N	P04637
ZZUZYEMRHCMVTB-UHFFFAOYSA-N	P0DMV8
ZZUZYEMRHCMVTB-UHFFFAOYSA-N	P0DMV9
ZZUZYEMRHCMVTB-UHFFFAOYSA-N	P34931
