n1	n2
GBABOYUKABKIAF-UHFFFAOYSA-N	P0DPH7
GBABOYUKABKIAF-UHFFFAOYSA-N	P0DPH8
GBABOYUKABKIAF-UHFFFAOYSA-N	P68363
GBABOYUKABKIAF-UHFFFAOYSA-N	P68366
GBABOYUKABKIAF-UHFFFAOYSA-N	P68371
GBABOYUKABKIAF-UHFFFAOYSA-N	Q13509
GBABOYUKABKIAF-UHFFFAOYSA-N	Q13885
GBABOYUKABKIAF-UHFFFAOYSA-N	Q3ZCM7
GBABOYUKABKIAF-UHFFFAOYSA-N	Q6PEY2
GBABOYUKABKIAF-UHFFFAOYSA-N	Q71U36
GBABOYUKABKIAF-UHFFFAOYSA-N	Q9BQE3
GBABOYUKABKIAF-UHFFFAOYSA-N	Q9BUF5
GBABOYUKABKIAF-UHFFFAOYSA-N	Q9BVA1
GBABOYUKABKIAF-UHFFFAOYSA-N	Q9H4B7
GBOGMAARMMDZGR-TYHYBEHESA-N	P60709
GCIKSSRWRFVXBI-UHFFFAOYSA-N	O14965
GCIKSSRWRFVXBI-UHFFFAOYSA-N	Q96GD4
GCIKSSRWRFVXBI-UHFFFAOYSA-N	Q9UQB9
GFMMXOIFOQCCGU-UHFFFAOYSA-N	P36507
GFMMXOIFOQCCGU-UHFFFAOYSA-N	Q02750
GKSGTWUNURZTKD-UHFFFAOYSA-N	O14520
GKSGTWUNURZTKD-UHFFFAOYSA-N	P13866
GKSGTWUNURZTKD-UHFFFAOYSA-N	P51790
GKSGTWUNURZTKD-UHFFFAOYSA-N	Q9UHI7
GMHIOMMKSMSRLY-UHFFFAOYSA-N	P14618
GOTYRUGSSMKFNF-UHFFFAOYSA-N	O14788
GOTYRUGSSMKFNF-UHFFFAOYSA-N	P01375
GOTYRUGSSMKFNF-UHFFFAOYSA-N	P33151
GOTYRUGSSMKFNF-UHFFFAOYSA-N	P35354
GOTYRUGSSMKFNF-UHFFFAOYSA-N	Q96SW2
GOVYBPLHWIEHEJ-UHFFFAOYSA-N	Q9UBN7
GPXBXXGIAQBQNI-UHFFFAOYSA-N	P15056
GQRREYKSPJMLAW-KZFONMTISA-N	O75469
GQRREYKSPJMLAW-KZFONMTISA-N	P09917
GQRREYKSPJMLAW-KZFONMTISA-N	P23219
GQRREYKSPJMLAW-KZFONMTISA-N	Q9Y210
GVEZIHKRYBHEFX-NQQPLRFYSA-N	P49327
GVEZIHKRYBHEFX-NQQPLRFYSA-N	Q01581
GXDSSUIUJKSVED-UHFFFAOYSA-N	Q96EB6
GXJABQQUPOEUTA-RDJZCZTQSA-N	A5LHX3
GXJABQQUPOEUTA-RDJZCZTQSA-N	O14818
GXJABQQUPOEUTA-RDJZCZTQSA-N	P20618
GXJABQQUPOEUTA-RDJZCZTQSA-N	P25786
GXJABQQUPOEUTA-RDJZCZTQSA-N	P25787
GXJABQQUPOEUTA-RDJZCZTQSA-N	P25788
GXJABQQUPOEUTA-RDJZCZTQSA-N	P25789
GXJABQQUPOEUTA-RDJZCZTQSA-N	P28062
GXJABQQUPOEUTA-RDJZCZTQSA-N	P28065
GXJABQQUPOEUTA-RDJZCZTQSA-N	P28066
GXJABQQUPOEUTA-RDJZCZTQSA-N	P28070
GXJABQQUPOEUTA-RDJZCZTQSA-N	P28072
GXJABQQUPOEUTA-RDJZCZTQSA-N	P28074
GXJABQQUPOEUTA-RDJZCZTQSA-N	P40306
GXJABQQUPOEUTA-RDJZCZTQSA-N	P49720
GXJABQQUPOEUTA-RDJZCZTQSA-N	P49721
GXJABQQUPOEUTA-RDJZCZTQSA-N	P60900
GXJABQQUPOEUTA-RDJZCZTQSA-N	Q04206
GXJABQQUPOEUTA-RDJZCZTQSA-N	Q13200
GXJABQQUPOEUTA-RDJZCZTQSA-N	Q8TAA3
GXJABQQUPOEUTA-RDJZCZTQSA-N	Q99436
GXJABQQUPOEUTA-RDJZCZTQSA-N	Q99460
GZNIYOXWFCDBBJ-UHFFFAOYSA-N	Q7L5A8
GZOSMCIZMLWJML-VJLLXTKPSA-N	P05093
GZOSMCIZMLWJML-VJLLXTKPSA-N	P15538
HEKAIDKUDLCBRU-UHFFFAOYSA-N	Q16539
HFNKQEVNSGCOJV-OAHLLOKOSA-N	O60674
HFNKQEVNSGCOJV-OAHLLOKOSA-N	P23458
HFNKQEVNSGCOJV-OAHLLOKOSA-N	P29597
HFNKQEVNSGCOJV-OAHLLOKOSA-N	P52333
HGVNLRPZOWWDKD-UHFFFAOYSA-N	O00329
HGVNLRPZOWWDKD-UHFFFAOYSA-N	P42338
HGVNLRPZOWWDKD-UHFFFAOYSA-N	P48736
HHZIURLSWUIHRB-UHFFFAOYSA-N	P00519
HHZIURLSWUIHRB-UHFFFAOYSA-N	P10721
HHZIURLSWUIHRB-UHFFFAOYSA-N	P11274
HKGJEZIGDHFJFL-UHFFFAOYSA-N	Q14974
HKSZLNNOFSGOKW-FYTWVXJKSA-N	O15530
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P06239
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P11309
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P24941
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P41240
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P43403
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P43405
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P48736
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P49137
HKSZLNNOFSGOKW-FYTWVXJKSA-N	P49841
HKSZLNNOFSGOKW-FYTWVXJKSA-N	Q04759
HKSZLNNOFSGOKW-FYTWVXJKSA-N	Q08881
HKVAMNSJSFKALM-GKUWKFKPSA-N	P42345
HLXSCTYHLQHQDJ-UHFFFAOYSA-N	P11308
HLXSCTYHLQHQDJ-UHFFFAOYSA-N	P50549
HLXSCTYHLQHQDJ-UHFFFAOYSA-N	Q01543
HLXSCTYHLQHQDJ-UHFFFAOYSA-N	Q01844
HLXSCTYHLQHQDJ-UHFFFAOYSA-N	Q08211
HOGVTUZUJGHKPL-HTVVRFAVSA-N	P31749
HOGVTUZUJGHKPL-HTVVRFAVSA-N	P31751
HOGVTUZUJGHKPL-HTVVRFAVSA-N	Q9Y243
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P08684
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P10632
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P11509
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P11712
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P20813
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P20815
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P23219
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P24462
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P33260
HOMGKSMUEGBAAB-AWEZNQCLSA-N	P33261
HOMJAAIVTDVQJA-UHFFFAOYSA-N	Q13163
HOMJAAIVTDVQJA-UHFFFAOYSA-N	Q13164
